answer_id,question_id,subject,modality,answer_file,markmax,examiner_1_mark,examiner_2_mark,examiner_1_ao_marks,examiner_2_ao_marks
eng_0001,english_01,english,typed,answers/english/eng_0001.txt,8,5,5,,
eng_0002,english_01,english,typed,answers/english/eng_0002.txt,8,7,7,,
eng_0003,english_01,english,typed,answers/english/eng_0003.txt,8,4,7,,
eng_0004,english_01,english,typed,answers/english/eng_0004.txt,8,2,3,,
eng_0005,english_01,english,typed,answers/english/eng_0005.txt,8,7,8,,
eng_0006,english_01,english,typed,answers/english/eng_0006.txt,8,4,7,,
eng_0007,english_01,english,typed,answers/english/eng_0007.txt,8,3,6,,
eng_0008,english_01,english,typed,answers/english/eng_0008.txt,8,5,5,,
eng_0009,english_01,english,typed,answers/english/eng_0009.txt,8,8,7,,
eng_0010,english_01,english,typed,answers/english/eng_0010.txt,8,3,6,,
eng_0011,english_01,english,typed,answers/english/eng_0011.txt,8,6,7,,
eng_0012,english_01,english,typed,answers/english/eng_0012.txt,8,7,7,,
eng_0013,english_01,english,typed,answers/english/eng_0013.txt,8,5,5,,
eng_0014,english_01,english,typed,answers/english/eng_0014.txt,8,3,3,,
eng_0015,english_01,english,typed,answers/english/eng_0015.txt,8,5,4,,
eng_0016,english_01,english,typed,answers/english/eng_0016.txt,8,6,5,,
eng_0017,english_01,english,typed,answers/english/eng_0017.txt,8,7,8,,
eng_0018,english_01,english,typed,answers/english/eng_0018.txt,8,4,6,,
eng_0019,english_01,english,typed,answers/english/eng_0019.txt,8,4,3,,
eng_0020,english_01,english,typed,answers/english/eng_0020.txt,8,6,8,,
eng_0021,english_01,english,typed,answers/english/eng_0021.txt,8,4,2,,
eng_0022,english_01,english,typed,answers/english/eng_0022.txt,8,6,6,,
eng_0023,english_01,english,typed,answers/english/eng_0023.txt,8,2,4,,
eng_0024,english_01,english,typed,answers/english/eng_0024.txt,8,7,8,,
eng_0025,english_01,english,typed,answers/english/eng_0025.txt,8,2,2,,
eng_0026,english_01,english,typed,answers/english/eng_0026.txt,8,0,0,,
eng_0027,english_01,english,typed,answers/english/eng_0027.txt,8,2,2,,
eng_0028,english_01,english,typed,answers/english/eng_0028.txt,8,7,7,,
eng_0029,english_01,english,typed,answers/english/eng_0029.txt,8,4,0,,
eng_0030,english_01,english,typed,answers/english/eng_0030.txt,8,5,6,,
eng_0031,english_02,english,typed,answers/english/eng_0031.txt,8,7,7,,
eng_0032,english_02,english,typed,answers/english/eng_0032.txt,8,4,5,,
eng_0033,english_02,english,typed,answers/english/eng_0033.txt,8,4,2,,
eng_0034,english_02,english,typed,answers/english/eng_0034.txt,8,6,5,,
eng_0035,english_02,english,typed,answers/english/eng_0035.txt,8,3,3,,
eng_0036,english_02,english,typed,answers/english/eng_0036.txt,8,4,6,,
eng_0037,english_02,english,typed,answers/english/eng_0037.txt,8,4,6,,
eng_0038,english_02,english,typed,answers/english/eng_0038.txt,8,3,4,,
eng_0039,english_02,english,typed,answers/english/eng_0039.txt,8,0,0,,
eng_0040,english_02,english,typed,answers/english/eng_0040.txt,8,4,5,,
eng_0041,english_02,english,typed,answers/english/eng_0041.txt,8,6,6,,
eng_0042,english_02,english,typed,answers/english/eng_0042.txt,8,4,0,,
eng_0043,english_02,english,typed,answers/english/eng_0043.txt,8,5,6,,
eng_0044,english_02,english,typed,answers/english/eng_0044.txt,8,4,2,,
eng_0045,english_02,english,typed,answers/english/eng_0045.txt,8,8,8,,
eng_0046,english_02,english,typed,answers/english/eng_0046.txt,8,5,6,,
eng_0047,english_02,english,typed,answers/english/eng_0047.txt,8,7,7,,
eng_0048,english_02,english,typed,answers/english/eng_0048.txt,8,2,2,,
eng_0049,english_02,english,typed,answers/english/eng_0049.txt,8,3,5,,
eng_0050,english_02,english,typed,answers/english/eng_0050.txt,8,6,8,,
eng_0051,english_02,english,typed,answers/english/eng_0051.txt,8,2,1,,
eng_0052,english_02,english,typed,answers/english/eng_0052.txt,8,8,6,,
eng_0053,english_02,english,typed,answers/english/eng_0053.txt,8,7,8,,
eng_0054,english_02,english,typed,answers/english/eng_0054.txt,8,2,1,,
eng_0055,english_02,english,typed,answers/english/eng_0055.txt,8,5,5,,
eng_0056,english_02,english,typed,answers/english/eng_0056.txt,8,3,3,,
eng_0057,english_02,english,typed,answers/english/eng_0057.txt,8,7,8,,
eng_0058,english_02,english,typed,answers/english/eng_0058.txt,8,4,5,,
eng_0059,english_02,english,typed,answers/english/eng_0059.txt,8,7,7,,
eng_0060,english_02,english,typed,answers/english/eng_0060.txt,8,4,6,,
eng_0061,english_06,english,typed,answers/english/eng_0061.txt,20,13,20,,
eng_0062,english_06,english,typed,answers/english/eng_0062.txt,20,5,7,,
eng_0063,english_06,english,typed,answers/english/eng_0063.txt,20,12,17,,
eng_0064,english_06,english,typed,answers/english/eng_0064.txt,20,17,17,,
eng_0065,english_06,english,typed,answers/english/eng_0065.txt,20,15,15,,
eng_0066,english_06,english,typed,answers/english/eng_0066.txt,20,0,0,,
eng_0067,english_06,english,typed,answers/english/eng_0067.txt,20,11,11,,
eng_0068,english_06,english,typed,answers/english/eng_0068.txt,20,15,13,,
eng_0069,english_06,english,typed,answers/english/eng_0069.txt,20,17,16,,
eng_0070,english_06,english,typed,answers/english/eng_0070.txt,20,16,14,,
eng_0071,english_06,english,typed,answers/english/eng_0071.txt,20,9,13,,
eng_0072,english_06,english,typed,answers/english/eng_0072.txt,20,14,7,,
eng_0073,english_06,english,typed,answers/english/eng_0073.txt,20,11,13,,
eng_0074,english_06,english,typed,answers/english/eng_0074.txt,20,2,2,,
